Designator,Mid X,Mid Y,Rotation,Layer
C10,144.8054,-91.2368,270.0,top
C11,147.775,-105.125,90.0,top
C12,141.6812,-101.8032,0.0,top
C13,152.4,-101.8,180.0,top
C14,141.6812,-100.7872,0.0,top
C15,153.1112,-97.536,180.0,top
C16,140.9192,-97.7646,90.0,top
C17,158.0642,-94.1578,270.0,top
C18,147.421053,-90.419623,180.0,top
C20,145.8214,-91.2368,270.0,top
C22,132.51,-82.62,90.0,top
C23,149.52,-90.299999,0.0,top
C3,133.6294,-79.6544,270.0,top
C4,144.25,-80.25,90.0,top
C5,139.37,-75.45,0.0,top
C6,131.6228,-80.4418,270.0,top
C7,141.7,-102.8,0.0,top
C8,148.89,-106.07,90.0,top
C9,143.8656,-105.2068,90.0,top
D1,153.605,-111.79,0.0,top
J4,162.945,-84.07,270.0,top
J6,146.67,-118.53,0.0,top
R10,134.4,-108.3,180.0,top
R11,144.78,-112.776,270.0,top
R12,148.16,-112.776,270.0,top
R13,145.85,-79.775,0.0,top
R14,156.13,-111.79,0.0,top
R16,176.72,-92.12,90.0,top
R17,174.43,-92.11,90.0,top
R18,172.15,-92.09,90.0,top
R19,168.22,-75.75,0.0,top
R20,125.8,-114.9,180.0,top
R21,125.9,-103.35,180.0,top
R22,117.6,-108.9,180.0,top
R24,118.95,-116.75,0.0,top
R25,126.9,-111.05,0.0,top
R26,123.15,-120.5,180.0,top
R3,147.85,-92.03,90.0,top
R4,146.6,-105.156,270.0,top
R5,145.15,-105.156,270.0,top
R6,155.829,-102.362,180.0,top
R9,135.4,-116.75,0.0,top
S10,136.9,-112.7,0.0,top
S11,120.87,-97.23,0.0,top
S12,171.8975,-105.04,0.0,top
S7,120.07,-112.63,0.0,top
S8,128.3,-107.0,0.0,top
S9,128.3,-118.6,0.0,top
U1,165.75,-114.37,0.0,top
U2,147.13,-98.3025,270.0,top
U3,138.88,-80.164,180.0,top
U4,159.975449,-99.656,90.0,top
X1,149.02,-87.799999,270.0,top
Y1,129.2292,-81.0004,180.0,top
